Key,Description,Standard,CHT,EN,JP,CHS
SAY.Flowchart.145.???,,等等!你為什麼....,等等!你為什麼....,Wait! Why are you...,待って、なぜあなたは...,等等!你为什么....
SAY.Flowchart.146.,,"發現身體已回歸自由的人沒有等到伊莉絲的回答,身影早就從窗戶外消失,遁於夜色之中。","發現身體已回歸自由的人沒有等到伊莉絲的回答,身影早就從窗戶外消失,遁於夜色之中。","The person who found that his body had returned to freedom did not wait for Elise's answer, and the figure disappeared from the window long ago, escaping into the night.",動けることに気づいたエリゼの返事を待たずに。その人影はとっくに窓から消え、夜の闇に消えていた。,"发现身体已回归自由的人没有等到伊莉丝的回答,身影早就从窗户外消失,遁于夜色之中。"
SAY.Flowchart.11.???,,"對不起呀,米婭小姐。","對不起呀,米婭小姐。","I'm sorry, Miss Mia.",ごめんなさい、ミアさん。,"对不起呀,米娅小姐。"
SAY.Flowchart.12.???,,"我要是就這樣把你放了回去,我好像吃虧了。","我要是就這樣把你放了回去,我好像吃虧了。","If I just put you back like this, I seem to have suffered a loss.","このまま君を解放したい,私は損失を被ったようです。","我要是就这样把你放了回去,我好像吃亏了。"
SAY.Flowchart.13.Mia,,放開我!我聽不懂你在說甚麼。,放開我!我聽不懂你在說甚麼。,Let go of me! I don't know what you're talking about.,放してくれ 何を言っているのか分からない。,放开我!我听不懂你在说什么。
SAY.Flowchart.73.???,,是我有些著急了。,是我有些著急了。,It's me who's in a bit of a rush.,ちょっと急いでいたんだ。,是我有些着急了。
SAY.Flowchart.74.???,,"我想也沒有必要自我介紹,這個東西你應該很熟悉了。","我想也沒有必要自我介紹,這個東西你應該很熟悉了。",I don't think there's any need to introduce myself. You should be familiar with this stuff.,自己紹介は必要ないと思う。 こういうことはよく知っているはずだ。,"我想也没有必要自我介绍,这个东西你应该很熟悉了。"
SAY.Flowchart.76.,,"陌生男子語畢,有數條長條狀物從地板拔起,再一次纏上了米婭。","陌生男子語畢,有數條長條狀物從地板拔起,再一次纏上了米婭。","At the stranger's words, several long strips were pulled up from the floor and wrapped around Mia once more.",見知らぬ男の言葉に、床から何本もの長い帯が引き上げられ、ミアにもう一度巻きつけられた。,"陌生男子语毕,有数条长条状物从地板拔起,再一次缠上了米娅。"
SAY.Flowchart.78.Mia,,是你!放開我!,是你!放開我!,It's you! Let go of me!,お前だ！ 放してくれ,是你!放开我!
SAY.Flowchart.79.???,,"抱歉,恕難從命。","抱歉,恕難從命。","I'm sorry, I can't do that.",ごめん、それはできない。,"抱歉,恕难从命。"
SAY.Flowchart.80.,,"米婭的身體因為方才的”激烈運動""早已疲憊不堪,擠不出一絲力氣再面對一次觸手怪物。","米婭的身體因為方才的”激烈運動""早已疲憊不堪,擠不出一絲力氣再面對一次觸手怪物。","Mia's body was exhausted from the ""intense exercise"" earlier, and she couldn't muster a single ounce of strength to face the tentacled monster again.","ミアの身体はすでに ""激しい運動 ""で疲れきっており、触手の怪物に再び立ち向かうだけの力を絞り出すことはできなかった。","米娅的身体因为方才的”激烈运动""早已疲惫不堪,挤不出一丝力气再面对一次触手怪物。"
SAY.Flowchart.81.???,,"呀,別這麼緊張,剛才其實還挺舒服的吧?","呀,別這麼緊張,剛才其實還挺舒服的吧?","Oh, don't be so nervous. It was actually quite comfortable, wasn't it?",そんなに神経質にならなくても、実際快適だったでしょう？,"呀,别这么紧张,刚才其实还挺舒服的吧?"
SAY.Flowchart.82.Mia,,怎..怎麼可能!那種事情...,怎..怎麼可能!那種事情...,How... How way! That kind of thing...,どうして... ありえないよ！ そんなこと...,怎..怎么可能!那种事情...
SAY.Flowchart.83.???,,"看來是很舒服呢,我對觸手的掌控力可是一流的。","看來是很舒服呢,我對觸手的掌控力可是一流的。","It looks very comfortable, and I have excellent control of my hands.",とても快適そうです.私の触手の制御は一流です。,"看来是很舒服呢,我对触手的掌控力可是一流的。"
SAY.Flowchart.84.???,,"既然你剛剛舒服完了,那該我了。","既然你剛剛舒服完了,那該我了。","Since you've just finished feeling comfortable, it's my turn.",あなたは快適になったところだ、今度は僕の番だ。,"既然你刚刚舒服完了,那该我了。"
SAY.Flowchart.86.,,"男子脫下褲子,露出了雄偉的男性器官,雙手擠壓著胸部,就這麼來回蹭動了起來。","男子脫下褲子,露出了雄偉的男性器官,雙手擠壓著胸部,就這麼來回蹭動了起來。","Man takes off his pants, revealing his majestic male organ,He squeezed chest with both hands and started moving it back and forth.",男はズボンを脱ぐ、雄大な男性器を露出させ、両手で胸を圧迫し、前後に動かし始めた。,"男子脱下裤子,露出了雄伟的男性器官,双手挤压着胸部,就这么来回蹭动了起来。"
SAY.Flowchart.87.Mia,,變態!,變態!,Pervert!,変態だ！,变态!
SAY.Flowchart.88.,,"米婭奮力地挺身,張開嘴想用力的咬下,但很可惜,觸手控制的力道相比米婭孤注一擲的力量大上許多。","米婭奮力地挺身,張開嘴想用力的咬下,但很可惜,觸手控制的力道相比米婭孤注一擲的力量大上許多。","Mia stood up hard and opened her mouth to bite down hard, but unfortunately, the force controlled by the tentacles was much greater than Mia's desperate strength.",ミアは力強く立ち上がり、口を開いて強く噛み締めたが、残念ながら触手に制御される力はミアの必死の力をはるかに上回っていた。,"米娅奋力地挺身,张开嘴想用力的咬下,但很可惜,触手控制的力道相比米娅孤注一掷的力量大上许多。"
SAY.Flowchart.89.???,,"米婭小姐,您的行為相當危險,但也讓我更加興奮了。","米婭小姐,您的行為相當危險,但也讓我更加興奮了。","Miss Mia, your behavior is quite dangerous, but it also makes me more excited.",ミアさん、あなたの行動はかなり危険ですが、それが私を興奮させます。,"米娅小姐,您的行为相当危险,但也让我更加兴奋了。"
SAY.Flowchart.90.,,"男子不僅加快摩擦的速度,甚至用柔軟的胸部塑了一個更加適合抽插的孔道。","男子不僅加快摩擦的速度,甚至用柔軟的胸部塑了一個更加適合抽插的孔道。","The man not only speeded up the friction, he even used his soft chest to create a more suitable hole for penetration.",男は摩擦を加速するだけでなく、柔らかい胸を使って挿入に適した穴を作りさえした。,"男子不仅加快摩擦的速度,甚至用柔软的胸部塑了一个更加适合抽插的孔道。"
SAY.Flowchart.91.Mia,,嗚噁...,嗚噁...,Ouch...,ああ...,呜恶...
SAY.Flowchart.92.,,"強烈又刺激的氣味不斷衝擊米婭的鼻腔,費洛蒙在小小的範圍內越來越強烈。","強烈又刺激的氣味不斷衝擊米婭的鼻腔,費洛蒙在小小的範圍內越來越強烈。","The strong and irritating smell kept hitting Mia's nasal cavity, and the pheromones became more and more intense in a small area.",強烈な刺激臭がミアの鼻腔を襲い続け、狭い範囲でフェロモンがますます濃くなっていく。,"强烈又刺激的气味不断冲击米娅的鼻腔,费洛蒙在小小的范围内越来越强烈。"
SAY.Flowchart.93.,,"作為一名純潔剛破處的少女,米婭沒有體會過這種感受。興奮、難受、違反道德的快感在米婭的心中逐漸長成。","作為一名純潔剛破處的少女,米婭沒有體會過這種感受。興奮、難受、違反道德的快感在米婭的心中逐漸長成。","As a pure girl who had just lost her virginity, Mia had never experienced this feeling. Exciting, uncomfortable, and unethical pleasure gradually grew in Mia's heart.",処女を失ったばかりの純粋な女の子として、ミアはこの感情を経験したことがありませんでした。 ミアの心には、刺激的で不快、非倫理的な快感が徐々に芽生えていった。,"作为一名纯洁刚破处的少女,米娅没有体会过这种感受。兴奋、难受、违反道德的快感在米娅的心中逐渐长成。"
SAY.Flowchart.94.,,"呼吸著充滿男性味道的空氣,被做著不可名狀的事,夾雜著費洛蒙的化學作用下產生了一點變化。","呼吸著充滿男性味道的空氣,被做著不可名狀的事,夾雜著費洛蒙的化學作用下產生了一點變化。","Breathing the air full of masculine smell, being done indescribable things, and mixed with the chemical effects of pheromones, there was a slight change.",男の匂いが充満する空気を吸い、何とも言えないことをされ、フェロモンの化学作用と混ざり合って、わずかな変化があった。,"呼吸着充满男性味道的空气,被做着不可名状的事,夹杂着费洛蒙的化学作用下产生了一点变化。"
SAY.Flowchart.95.Mia,,嘶哈...嘶哈....,嘶哈...嘶哈....,Hiss... hiss...,シューッ...シューッ...,嘶哈...嘶哈....
SAY.Flowchart.96.???,,"哦!學得那麼好,居然這麼快就習慣了。","哦!學得那麼好,居然這麼快就習慣了。",Oh! learned so well and got used to it so quickly.,ああ、とてもよく学べて、すぐに慣れました。,"哦!学得那么好,居然这么快就习惯了。"
SAY.Flowchart.97.Mia,,才、才沒有!,才、才沒有!,"No, no!",いいえ！いいえ！,才、才没有!
SAY.Flowchart.98.???,,但你的身體可不會說謊。,但你的身體可不會說謊。,But your body doesn't lie.,でも、体は嘘をつかない。,但你的身体可不会说谎。
SAY.Flowchart.99.,,"男子加大了腰部的動作,使得蕈狀的部分在每一次簡諧運動的過程,都會對米婭散發一次更強烈的氣味。","男子加大了腰部的動作,使得蕈狀的部分在每一次簡諧運動的過程,都會對米婭散發一次更強烈的氣味。","The man increased the movement of his waist, causing the muscular part to emit a stronger odor to Mia with each harmonious movement.",男は腰の動きを強め、筋肉質な部分が調和のとれた動きをするたびにミーアに強い匂いを発した。,"男子加大了腰部的动作,使得蕈状的部分在每一次简谐运动的过程,都会对米娅散发一次更强烈的气味。"
SAY.Flowchart.100.Mia,,嗚...要、要碰到了...,嗚...要、要碰到了...,Woo...we're about bump into...,うわぁ…ぶつかりそう…,呜...要、要碰到了...
SAY.Flowchart.101.,,"米婭盯著胸部上滾燙的棒狀物體不斷來回摩擦,想撇開頭卻發現鼻子被氣味的方向吸引。","米婭盯著胸部上滾燙的棒狀物體不斷來回摩擦,想撇開頭卻發現鼻子被氣味的方向吸引。","Mia stared at the hot rod rubbing back and forth on her breasts, trying to look away but finding her nose drawn in the direction of the scent.",ミアは自分の乳房を前後にこする熱い棒を見つめ、顔をそむけようとしたが、鼻が匂いの方向に引き寄せられるのがわかった。,"米娅盯着胸部上滚烫的棒状物体不断来回摩擦,想撇开头却发现鼻子被气味的方向吸引。"
SAY.Flowchart.102.Mia,,嘶哈...嘶哈....,嘶哈...嘶哈....,Hiss... hiss...,シューッ...シューッ...,嘶哈...嘶哈....
SAY.Flowchart.103.,,"肉棒在胸部的夾縫中極限生存,每一次的抽插,都會讓胸部產生變形。米婭也不再反抗,只是盡情的吸取空氣中的化學激素。\n","肉棒在胸部的夾縫中極限生存,每一次的抽插,都會讓胸部產生變形。米婭也不再反抗,只是盡情的吸取空氣中的化學激素。\n","The rod survived in the crevices of the breasts, deforming them with every thrust. Mia stopped resisting and just soaked up the chemical hormones in the air.
",棒は乳房の隙間に食い込み、突き刺すたびに乳房を変形させた。 ミアはもう抵抗せず、ただ化学ホルモンを吸い出した。,"肉棒在胸部的夹缝中极限生存,每一次的抽插,都会让胸部产生变形。米娅也不再反抗,只是尽情的吸取空气中的化学激素。 \n"
SAY.Flowchart.104.Mia,,哈嗚...嘶哈...哈啊、哈.....,哈嗚...嘶哈...哈啊、哈.....,Hiss... hiss...,シューッ...シューッ...,哈呜...嘶哈...哈啊、哈.....
SAY.Flowchart.105.???,,我要射了。,我要射了。,I'm gonna cum.,イキそうだ。,我要射了。
SAY.Flowchart.106.,,"短短的一句話,將米婭從夢中拉回現實。","短短的一句話,將米婭從夢中拉回現實。",One short sentence brought Mia back from her dream.,ある短い一文で、ミアは夢から覚めた。,"短短的一句话,将米娅从梦中拉回现实。"
SAY.Flowchart.107.Mia,,嗚哈...等等..!不、不要..射在臉上...,嗚哈...等等..!不、不要..射在臉上...,"Uh-huh... wait...! No, don't... cum on the face...",う、うーん…待って…だめ、顔に射精しないで…！,呜哈...等等..!不、不要..射在脸上...
SAY.Flowchart.108.,,"突然,胸部上的肉棒腫脹了起來,摩擦的速度也來到了極限。","突然,胸部上的肉棒腫脹了起來,摩擦的速度也來到了極限。","Suddenly, the rod on his chest swelled up and the friction reached its limit.",突然、胸元の肉棒が膨らみ、摩擦速度が限界に達した。,"突然,胸部上的肉棒肿胀了起来,摩擦的速度也来到了极限。"
SAY.Flowchart.109.???,,射了!,射了!,Shot!,ショット！,射了!
SAY.Flowchart.110.Mia,,咿..咿呀!!!,咿..咿呀!!!,Eeee... Eeee !!!,えええおおおおおおお？,咿..咿呀!!!
SAY.Flowchart.111.,,"白濁的液體從粗壯的陰莖中噴湧而出,噴射在米婭的臉上,額外的精液漫流而下到了米婭胸部間的山谷中。","白濁的液體從粗壯的陰莖中噴湧而出,噴射在米婭的臉上,額外的精液漫流而下到了米婭胸部間的山谷中。","White, cloudy fluid gushed from the thick shaft, spraying Mia's face as extra semen roamed down into the valley between Mia's breasts.",太いペニスから白い液体が噴き出し、ミアの顔に飛び散り、余分な精液がミアの乳房の谷間に流れ落ちた。,"白浊的液体从粗壮的阴茎中喷涌而出,喷射在米娅的脸上,额外的精液漫流而下到了米娅胸部间的山谷中。"
SAY.Flowchart.112.,,"伴著米婭微弱的喘息和飽和度極高的空氣,男子穿上了衣服整理了下儀容,將另外派出的觸手取回的清水放在失神的米婭旁。","伴著米婭微弱的喘息和飽和度極高的空氣,男子穿上了衣服整理了下儀容,將另外派出的觸手取回的清水放在失神的米婭旁。","With Mia's faint gasps and the saturated air, the man put on his clothes and groomed himself, placing the fresh water retrieved by the other tentacles next to the disoriented Mia.",ミアのかすかなあえぎ声と飽和した空気を感じながら、男は服を着て身づくろいをし、もう片方の触手で取り出した新鮮な水を、混乱しているミアの隣に置いた。,"伴着米娅微弱的喘息和饱和度极高的空气,男子穿上了衣服整理了下仪容,将另外派出的触手取回的清水放在失神的米娅旁。"
SAY.Flowchart.113.???,,"我們會再會的,米婭小姐。","我們會再會的,米婭小姐。","We'll meet again, Miss Mia.",また会いましょう、ミス・ミア。,"我们会再会的,米娅小姐。"
SAY.Flowchart.16.,,"脫下了褲子,精神的肉棒馬上彈了出來,第一次面對男性的生殖器官,史黛拉顯得不知所措。","脫下了褲子,精神的肉棒馬上彈了出來,第一次面對男性的生殖器官,史黛拉顯得不知所措。","After taking off her pants, the majestic cock popped out immediately. Facing the male reproductive organs for the first time, Stella seemed at a loss.",パンツを脱ぐと、すぐに雄大なチンポが飛び出し、初めて男性の生殖器を前にして、ステラは戸惑った様子だった。,"脱下了裤子,精神的肉棒马上弹了出来,第一次面对男性的生殖器官,史黛拉显得不知所措。"
SAY.Flowchart.17.Stella,,"請你停下你的行為,神的旨意是不容你這樣褻瀆的!","請你停下你的行為,神的旨意是不容你這樣褻瀆的!","Please stop your behavior, God’s will does not allow you to blaspheme like this!",あなたの行動を止めてください。このような冒涜は神の御心によって許されないのです。,"请你停下你的行为,神的旨意是不容你这样亵渎的!"
SAY.Flowchart.18.,,"史黛拉露出了嚴厲的表情,試著嚇阻面前的男子。","史黛拉露出了嚴厲的表情,試著嚇阻面前的男子。",Stella showed a stern expression and tried to scare the man in front of her.,ステラは厳しい表情で、目の前の男を制止しようとした。,"史黛拉露出了严厉的表情,试着吓阻面前的男子。"
SAY.Flowchart.179.,,"「啪!啪!」兩下用力的耳光賞在了史黛拉的臉上,熱辣辣的痛覺馬上從臉頰上傳來,史黛拉緊盯著眼前的肉棒逐漸變大,心裡的恐懼不斷地加深...","「啪!啪!」兩下用力的耳光賞在了史黛拉的臉上,熱辣辣的痛覺馬上從臉頰上傳來,史黛拉緊盯著眼前的肉棒逐漸變大,心裡的恐懼不斷地加深...","""Pah! Pah!"" Two hard slaps were given to Stella's face, and hot pain immediately spread from her cheeks. Stella stared at the cock in front of her as it gradually grew bigger, and the fear in her heart continued to deepen. ..",「ぱっ、ぱっ！」 ステラの顔面に二発の強烈なビンタが与えられ、ステラの頬には熱い痛みが広がり、ステラは目の前の肉棒が徐々に大きくなっていくのを見つめ、心の中の恐怖はどんどん深まっていった......。,"「啪!啪!」两下用力的耳光赏在了史黛拉的脸上,热辣辣的痛觉马上从脸颊上传来,史黛拉紧盯着眼前的肉棒逐渐变大,心里的恐惧不断地加深. .."
SAY.Flowchart.178.???,,"史黛拉小姐,雖然您日夜侍奉著神明,也不間斷地佈道。但您是否想過,為什麼人民的苦難卻不斷發生,無法結束?","史黛拉小姐,雖然您日夜侍奉著神明,也不間斷地佈道。但您是否想過,為什麼人民的苦難卻不斷發生,無法結束?","Miss Stella, although you serve the gods day and night, you also preach without interruption. But have you ever thought about why people’s suffering keeps happening and cannot end?",ステラさん、あなたは昼も夜も神に仕えていますが、途切れることなく説教もしています。しかし、なぜ人々の苦しみが起こり続け、終わることができないのか考えたことがありますか?,"史黛拉小姐,虽然您日夜侍奉着神明,也不间断地布道。但您是否想过,为什么人民的苦难却不断发生,无法结束?"
SAY.Flowchart.180.Stella,,"唔...那..那是因為人們的心不夠虔誠,或者決心不夠堅強,只要持之以恆,總有一天會感動上天,得來善報的。","唔...那..那是因為人們的心不夠虔誠,或者決心不夠堅強,只要持之以恆,總有一天會感動上天,得來善報的。","Well...that...that's because people's hearts are not pious enough, or their determination is not strong enough. As long as they persevere, one day they will be moved by God and receive good rewards.",まあ... それは... それは、人々の心が敬虔でないか、決意が強くないからだ。 粘り強くやっていれば、いつか天に触れ、報われる日が来る。,"唔...那..那是因为人们的心不够虔诚,或者决心不够坚强,只要持之以恒,总有一天会感动上天,得来善报的。"
SAY.Flowchart.182.???,,"說的太好了,但有沒有可能,只是方法錯了。","說的太好了,但有沒有可能,只是方法錯了。","That's great, but is it possible that the method is just wrong?",それは素晴らしいことですが、単に方法が間違っている可能性はありますか?,"说的太好了,但有没有可能,只是方法错了。"
SAY.Flowchart.181.???,,"在你面前的,並不只是一般男性的肉棒,他可是聖器。","在你面前的,並不只是一般男性的肉棒,他可是聖器。","What is in front of you is not just an ordinary male cock, it is a sacred instrument.",あなたの目の前にあるのはただの男性のチンポではなく、神聖な道具です。,"在你面前的,并不只是一般男性的肉棒,他可是圣器。"
SAY.Flowchart.183.Stella,,那是什麼...?,那是什麼...?,what is that...?,それは何ですか...？,那是什么...?
SAY.Flowchart.184.???,,"我想你肯定聽說過的,無形者的使徒所持的天國的號角。","我想你肯定聽說過的,無形者的使徒所持的天國的號角。",I am sure you have heard of the trumpets of heaven held by the apostles of the invisible one.,目に見えない者の使徒たちが持っている天国のラッパについて聞いたことがあると思います。,"我想你肯定听说过的,无形者的使徒所持的天国的号角。"
SAY.Flowchart.185.???,,"吹響它,你將獲得把天父的旨意傳向遠方的能力。","吹響它,你將獲得把天父的旨意傳向遠方的能力。","Blow it, and you will gain the power to spread Heavenly Father's will far away.",それを吹けば、父なる神の意志を遠くまで広く伝える能力を得ることができる。,"吹响它,你将获得把天父的旨意传向远方的能力。"
SAY.Flowchart.186.Stella,,吹響它?,吹響它?,Blow it?,吹く？,吹响它?
SAY.Flowchart.187.,,"史黛拉的內心有些動搖了,他曾行走在荒蕪的土地上為人們祈求,也曾流離在瘟疫的土地上為人們淨化,但沒有一次真正成功拯救世人。","史黛拉的內心有些動搖了,他曾行走在荒蕪的土地上為人們祈求,也曾流離在瘟疫的土地上為人們淨化,但沒有一次真正成功拯救世人。","Stella's heart was a little shaken. He once walked in the barren land to pray for people, and also wandered in the plagued land to purify people, but he never really succeeded in saving the world.",ステラの心は揺れ動いた。不毛の地を歩き、人々のために祈り、疫病が蔓延する地を巡り、人々を浄化してきたが、世界を救うことに成功したことは一度もなかった。,"史黛拉的内心有些动摇了,他曾行走在荒芜的土地上为人们祈求,也曾流离在瘟疫的土地上为人们净化,但没有一次真正成功拯救世人。"
SAY.Flowchart.188.,,"而現在,機會就放在眼前,雖然她並不認得眼前的男子,但來自XXX教會的人絕非惡人。","而現在,機會就放在眼前,雖然她並不認得眼前的男子,但來自XXX教會的人絕非惡人。","And now, the opportunity was right in front of her. Although she didn't recognize the man in front of her, the people from the Church of Heavenly Man were by no means evil.",そして今、そのチャンスは彼女の目の前にあった。目の前の男に気付かなかったが、天人教会の人々は決して悪人ではなかった。,"而现在,机会就放在眼前,虽然她并不认得眼前的男子,但来自XXX教会的人绝非恶人。"
SAY.Flowchart.189.???,,"沒錯,作為前輩的我,應該為你指點迷津。把你的嘴唇,包覆住牙齒,輕柔的含住眼前的聖器。","沒錯,作為前輩的我,應該為你指點迷津。把你的嘴唇,包覆住牙齒,輕柔的含住眼前的聖器。","Yes, as a senior, I should give you some guidance. Cover your teeth with your lips, and gently hold the holy vessel in front of you.",はい、先輩として指導させていただきます。唇で歯を覆い、目の前の聖なる器をそっと持ちます。,"没错,作为前辈的我,应该为你指点迷津。把你的嘴唇,包覆住牙齿,轻柔的含住眼前的圣器。"
SAY.Flowchart.190.,,"透過一步一步的教導,史黛拉小心翼翼的照做。","透過一步一步的教導,史黛拉小心翼翼的照做。","Through step-by-step instructions, Stella followed it carefully.",段階を踏んで教えることで、ステラは慎重に言われたとおりにした。,"透过一步一步的教导,史黛拉小心翼翼的照做。"
SAY.Flowchart.191.Stella,,像...像這樣?,像...像這樣?,Like...like this?,みたいな…こんな感じ？,像...像这样?
SAY.Flowchart.192.,,"史黛拉怯生生的張開小嘴,將眼前的肉棒緩緩含入口中。奇怪的味道刺激著史黛拉的鼻腔,但對於史黛拉來說這並不算什麼。","史黛拉怯生生的張開小嘴,將眼前的肉棒緩緩含入口中。奇怪的味道刺激著史黛拉的鼻腔,但對於史黛拉來說這並不算什麼。","Stella timidly opened her small mouth and slowly took the cock in front of her into her mouth. The strange smell irritated Stella's nasal cavity, but to Stella it was nothing.",ステラは恐る恐る小さな口を開け、目の前のチンポをゆっくりと口に含んだ。奇妙な匂いがステラの鼻腔を刺激したが、ステラにとっては何でもなかった。,"史黛拉怯生生的张开小嘴,将眼前的肉棒缓缓含入口中。奇怪的味道刺激着史黛拉的鼻腔,但对于史黛拉来说这并不算什么。"
SAY.Flowchart.193.???,,"沒錯,就是這樣。","沒錯,就是這樣。","Yes, that's it.",その通りだ、それだけです。,"没错,就是这样。"
SAY.Flowchart.194.Stella,,再...再來呢?,再...再來呢?,What about... again?,また... また？,再...再来呢?
SAY.Flowchart.195.???,,"再來請小心的上下移動,妳將一步一步的解開聖器的封印。","再來請小心的上下移動,妳將一步一步的解開聖器的封印。","Next, please move up and down carefully, and you will unlock the seal of the holy instrument step by step.",繰り返しますが、一歩ずつ聖なる遺物の封印を解きながら、慎重に上下に移動してください。,"再来请小心的上下移动,妳将一步一步的解开圣器的封印。"
SAY.Flowchart.196.Stella,,哈姆...哈姆...哈啊姆...,哈姆...哈姆...哈啊姆...,Ham...ham...haam...,シューッ...シューッ...,哈姆...哈姆...哈啊姆...
SAY.Flowchart.197.,,"雖然動作看起來笨拙了點,也偶爾會不小心用力過猛,但這一點一滴將會化作史黛拉的經驗,被好好的保留在腦袋裡。","雖然動作看起來笨拙了點,也偶爾會不小心用力過猛,但這一點一滴將會化作史黛拉的經驗,被好好的保留在腦袋裡。","Although the movements may seem a bit clumsy, and occasionally she may accidentally exert too much force, every bit of it will be transformed into Stella’s experience and be well preserved in her mind.",動きは少しぎこちないように見えたり、時には力を入れすぎてしまったりするかもしれませんが、そのすべてがステラの経験として変換され、彼女の心の中にしっかりと保存されます。,"虽然动作看起来笨拙了点,也偶尔会不小心用力过猛,但这一点一滴将会化作史黛拉的经验,被好好的保留在脑袋里。"
SAY.Flowchart.198.Stella,,哈姆...哈啊...好痠...,哈姆...哈啊...好痠...,Ham...haha...so sour...,ハム...はは...酸っぱい...,哈姆...哈啊...好酸...
SAY.Flowchart.199.,,"史黛拉的下巴由於不習慣而酸澀不已,抬起頭暫停了口交的進行。","史黛拉的下巴由於不習慣而酸澀不已,抬起頭暫停了口交的進行。","Stella's chin was sore because she was not used to it, so she raised her head and paused the oral sex.",ステラの顎は不快感で痛んでおり、オーラルセックスを一時中断しようと頭を上げた。,"史黛拉的下巴由于不习惯而酸涩不已,抬起头暂停了口交的进行。"
SAY.Flowchart.200.???,,"就這嗎?妳對佈道的嚮往,就僅僅因為痠痛而停滯了腳步嗎?","就這嗎?妳對佈道的嚮往,就僅僅因為痠痛而停滯了腳步嗎?",Is that it? Is your yearning for preaching stalled just because of soreness?,それだけか？ あなたの説教欲は痛みによってのみ止められるのか？,"就这吗?妳对布道的向往,就仅仅因为酸痛而停滞了脚步吗?"
SAY.Flowchart.201.,,"嚴厲的訓話讓史黛拉不得不提起勁,重新含起天國的號角,而在短短的練習下,史黛拉的口技已經變得愈發熟練。","嚴厲的訓話讓史黛拉不得不提起勁,重新含起天國的號角,而在短短的練習下,史黛拉的口技已經變得愈發熟練。","The stern lecture forced Stella to muster up her energy and pick up the horn of heaven again. However, after a short period of practice, Stella's ventriloquism has become more and more proficient.",厳しい講義にステラは気力を振り絞って再び天の角を手に取ることになったが、短期間の練習の後、ステラの腹話術はますます上手になった。,"严厉的训话让史黛拉不得不提起劲,重新含起天国的号角,而在短短的练习下,史黛拉的口技已经变得愈发熟练。"
SAY.Flowchart.202.???,,"嗯!很好,我很滿意,那接下來可以開始加速了。","嗯!很好,我很滿意,那接下來可以開始加速了。","Well! Very good, I am very satisfied, then we can start to accelerate.",とてもよかったです。とても満足しています。それでは加速を始めましょう。,"嗯!很好,我很满意,那接下来可以开始加速了。"
SAY.Flowchart.203.Stella,,加...加速...?,加...加速...?,Accelerate...?,加速…？,加...加速...?
SAY.Flowchart.204.,,"不再只是史黛拉的小嘴上下移動,???挺直了腰,對史黛拉開始活塞運動。","不再只是史黛拉的小嘴上下移動,???挺直了腰,對史黛拉開始活塞運動。","No longer just Stella's little mouth moving up and down,??? straightened his waist and started piston movement towards Stella.",もはやステラの小さな口が上下に動くだけではなく、腰をまっすぐにしてステラに向かってピストン運動を始めた。,"不再只是史黛拉的小嘴上下移动,???挺直了腰,对史黛拉开始活塞运动。"
SAY.Flowchart.205.Stella,,咕嗚...嗚喔...咕喔...!,咕嗚...嗚喔...咕喔...!,Goooo...ooooo...coooo...!,ああ... フーフー... フーフー..！,咕呜...呜喔...咕喔...!
SAY.Flowchart.206.,,"肉棒頂到喉嚨的撞擊聲,伴隨著史黛拉的嗚噎在房間裡迴盪著。","肉棒頂到喉嚨的撞擊聲,伴隨著史黛拉的嗚噎在房間裡迴盪著。",The sound of the cock hitting her throat echoed in the room along with Stella's whimpers.,ステラの喘ぎ声とともに、竿が喉に当たる音が部屋中に響き渡った。,"肉棒顶到喉咙的撞击声,伴随着史黛拉的呜噎在房间里回荡着。"
SAY.Flowchart.207.Stella,,嗚...咕嗚...咕...,嗚...咕嗚...咕...,Goooo...ooooo...coooo...!,グム、グム…,呜...咕呜...咕...
SAY.Flowchart.208.???,,"習慣了嗎,這是解開封印的最後一步了!","習慣了嗎,這是解開封印的最後一步了!",Are you used to it? This is the last step to unlock the seal!,慣れてきましたか？これが封印を解く最後のステップです！,"习惯了吗,这是解开封印的最后一步了!"
SAY.Flowchart.209.???,,"請包覆住聖器,並且開始吮吸。","請包覆住聖器,並且開始吮吸。",Please cover the sacred vessel.And started sucking.,聖具室を包んで、しゃぶり始める。,"请包覆住圣器,并且开始吮吸。"
SAY.Flowchart.210.Stella,,嗚..嗚耶..?,嗚..嗚耶..?,Woo...woo yeah...?,ぐぅ…ふぅ…,呜..呜耶..?
SAY.Flowchart.211.Stella,,嗯...咕啾...咕啾...,嗯...咕啾...咕啾...,Hmm... Gujiu... Gujiu...,うーん... グーチョ... クーチー...,嗯...咕啾...咕啾...
SAY.Flowchart.212.,,"史黛拉乖乖地低著頭,忍住下巴脫臼的痠痛,努力的吸吮了起來,房間裡迴盪著淫蕩的水聲。","史黛拉乖乖地低著頭,忍住下巴脫臼的痠痛,努力的吸吮了起來,房間裡迴盪著淫蕩的水聲。","Stella lowered her head obediently, resisting the pain of dislocated jaw, and sucked hard, and the room echoed with the lustful sound of water.",ステラは従順に頭を下げ、脱臼した顎の痛みに耐え、激しくしゃぶり、部屋は欲望の飛沫で反響した。,"史黛拉乖乖地低着头,忍住下巴脱臼的酸痛,努力的吸吮了起来,房间里回荡着淫荡的水声。"
